#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
결함 vs 결함 관리 도구	결함	오류로 인해 발생한, 기대 결과와 실제 결과의 차이	에러(Error) → 결함(Defect/Fault/Bug) → 실패(Failure)로 이어진다. 결함 관리 순서는 등록 → 검토 → 할당 → 수정 → 조치 보류 → 종료 → 해제다.	「금액이 음수로 표시됨」처럼 기대와 실제의 차이.	결함 관리 도구	결함을 등록·추적·관리하는 도구	Mantis, Trac, Redmine, Bugzilla가 대표적이다.	Jira·Redmine·Mantis·Bugzilla 로 결함을 티켓으로 추적한다.	결함 상태 추적 순서와 용어 관계를 묻는다. | 도구 이름 나열형.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_혼동짝 과목2
결함 vs 결함 심각도	결함	오류로 인해 발생한, 기대 결과와 실제 결과의 차이	에러(Error) → 결함(Defect/Fault/Bug) → 실패(Failure)로 이어진다. 결함 관리 순서는 등록 → 검토 → 할당 → 수정 → 조치 보류 → 종료 → 해제다.	「금액이 음수로 표시됨」처럼 기대와 실제의 차이.	결함 심각도	결함이 시스템에 미치는 영향의 정도	치명적(Critical), 주요(Major), 보통(Normal), 경미(Minor), 단순(Simple)으로 분류한다. 우선순위(Priority)와는 다르다.	결제가 안 되는 것은 치명적, 오타는 경미.	결함 상태 추적 순서와 용어 관계를 묻는다. | 심각도와 우선순위를 바꿔 낸다.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_혼동짝 과목2
결함 심각도 vs 결함 우선순위	결함 심각도	결함이 시스템에 미치는 영향의 정도	치명적(Critical), 주요(Major), 보통(Normal), 경미(Minor), 단순(Simple)으로 분류한다. 우선순위(Priority)와는 다르다.	결제가 안 되는 것은 치명적, 오타는 경미.	결함 우선순위	결함을 얼마나 빨리 수정해야 하는지의 순서	결정적, 높음, 보통, 낮음으로 분류한다. 심각도가 낮아도 우선순위가 높을 수 있어 별개 개념이다.	오타는 심각도 낮지만 메인 화면 회사명 오타면 우선순위는 최상.	심각도와 우선순위를 바꿔 낸다. | 심각도와 우선순위를 바꿔 낸다.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_혼동짝 과목2
나쁜 코드 vs 클린 코드	나쁜 코드	처리 로직의 제어가 복잡하고 이해하기 어려운 코드	외계인 코드(아주 오래되어 유지보수가 어려운 코드), 스파게티 코드(제어 흐름이 얽힌 코드)가 대표적이다.	한 함수가 800줄이고 if 중첩이 7단인 코드.	클린 코드	누구나 쉽게 이해하고 수정·추가할 수 있도록 작성한 코드	작성 원칙은 가독성, 단순성, 의존성 배제, 중복성 최소화, 추상화다.	함수는 20줄 이내, 이름만 봐도 무엇을 하는지 아는 코드.	나쁜 코드의 종류와 이름을 짝짓게 한다. | 작성 원칙 5종 나열형.	2-16 성능 개선 · 코드 품질 (2과목)	유형_혼동짝 과목2
나쁜 코드 vs 외계인 코드	나쁜 코드	처리 로직의 제어가 복잡하고 이해하기 어려운 코드	외계인 코드(아주 오래되어 유지보수가 어려운 코드), 스파게티 코드(제어 흐름이 얽힌 코드)가 대표적이다.	한 함수가 800줄이고 if 중첩이 7단인 코드.	외계인 코드	아주 오래되거나 참고 문서·개발자가 없어 유지보수가 매우 어려운 코드	작성자를 알 수 없어 손댈 수 없다는 뜻이다.	10년 전 퇴사자가 만들고 문서도 없는 정산 배치.	나쁜 코드의 종류와 이름을 짝짓게 한다. | 용어 정의 문제.	2-16 성능 개선 · 코드 품질 (2과목)	유형_혼동짝 과목2
나쁜 코드 vs 스파게티 코드	나쁜 코드	처리 로직의 제어가 복잡하고 이해하기 어려운 코드	외계인 코드(아주 오래되어 유지보수가 어려운 코드), 스파게티 코드(제어 흐름이 얽힌 코드)가 대표적이다.	한 함수가 800줄이고 if 중첩이 7단인 코드.	스파게티 코드	제어 흐름이 복잡하게 얽혀 있어 이해하기 어려운 코드	GOTO 남용이 대표 원인이다.	GOTO 와 전역 변수로 흐름이 얽혀 어디로 튀는지 알 수 없는 코드.	나쁜 코드의 종류와 이름을 짝짓게 한다. | 용어 정의 문제.	2-16 성능 개선 · 코드 품질 (2과목)	유형_혼동짝 과목2
스파게티 코드 vs 외계인 코드	스파게티 코드	제어 흐름이 복잡하게 얽혀 있어 이해하기 어려운 코드	GOTO 남용이 대표 원인이다.	GOTO 와 전역 변수로 흐름이 얽혀 어디로 튀는지 알 수 없는 코드.	외계인 코드	아주 오래되거나 참고 문서·개발자가 없어 유지보수가 매우 어려운 코드	작성자를 알 수 없어 손댈 수 없다는 뜻이다.	10년 전 퇴사자가 만들고 문서도 없는 정산 배치.	용어 정의 문제. | 용어 정의 문제.	2-16 성능 개선 · 코드 품질 (2과목)	유형_혼동짝 과목2
SonarQube vs 소스코드 품질 분석 도구	SonarQube	코드 품질과 보안 취약점을 지속적으로 검사하는 대표적인 정적 분석 플랫폼	중복 코드, 복잡도, 코딩 표준 위반을 리포트한다.	「Quality Gate 실패」로 배포를 막아 품질 기준을 강제한다.	소스코드 품질 분석 도구	코딩 표준·복잡도·중복도 등을 분석해 품질을 측정하는 도구	정적 분석 도구는 pmd, cppcheck, SonarQube, checkstyle, ccm, cobertura가 있고, 동적 분석 도구는 Avalanche, Valgrind가 있다.	SonarQube 가 PR 마다 중복률·복잡도·취약점을 리포트한다.	정적 분석 도구 나열형. | 정적/동적 도구를 섞어 분류하게 한다.	2-16 성능 개선 · 코드 품질 (2과목)	유형_혼동짝 과목2
동적 분석 vs 정적 분석	동적 분석	프로그램을 실행해 메모리 누수, 스레드 결함 등을 분석하는 방법	Avalanche, Valgrind가 예시다.	Valgrind 로 실제 실행하며 메모리 누수를 잡는다.	정적 분석	소스 코드를 실행하지 않고 코딩 표준·복잡도·결함을 분석하는 방법	실행 없이 분석한다는 점이 핵심이다.	빌드 단계에서 코드를 실행하지 않고 규칙 위반을 잡아낸다.	실행 여부로 구별. | 실행 여부로 구별.	2-16 성능 개선 · 코드 품질 (2과목)	유형_혼동짝 과목2
IPSec vs SSL	IPSec	네트워크 계층에서 IP 패킷을 암호화·인증하는 보안 프로토콜	AH(인증 헤더)는 인증과 무결성만, ESP(캡슐 보안 페이로드)는 암호화까지 제공한다. 전송 모드와 터널 모드가 있다.	본사와 지사를 잇는 사이트 간 VPN 터널의 기반 프로토콜.	SSL	전송 계층과 응용 계층 사이에서 데이터를 암호화하는 보안 프로토콜	TLS로 발전했다. HTTPS가 이를 사용한다. 무선 랜 표준인 WPA와 혼동하면 안 된다.	https 자물쇠 아이콘 뒤에서 동작하는 그 프로토콜.	AH와 ESP의 기능 차이를 묻는다. | 무선 랜 보안 문제의 오답 선택지로 나온다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_혼동짝 과목2
IPSec vs S-HTTP	IPSec	네트워크 계층에서 IP 패킷을 암호화·인증하는 보안 프로토콜	AH(인증 헤더)는 인증과 무결성만, ESP(캡슐 보안 페이로드)는 암호화까지 제공한다. 전송 모드와 터널 모드가 있다.	본사와 지사를 잇는 사이트 간 VPN 터널의 기반 프로토콜.	S-HTTP	HTTP 메시지 단위로 암호화·서명을 적용하는 보안 프로토콜	SSL은 연결 전체를 암호화하지만 S-HTTP는 개별 메시지를 암호화한다.	연결 전체가 아니라 HTTP 메시지 하나하나를 암호화한다.	AH와 ESP의 기능 차이를 묻는다. | 적용 단위(연결 vs 메시지)로 구별.	2-17 인터페이스 구현 · 보안 (2과목)	유형_혼동짝 과목2
IPSec vs VPN	IPSec	네트워크 계층에서 IP 패킷을 암호화·인증하는 보안 프로토콜	AH(인증 헤더)는 인증과 무결성만, ESP(캡슐 보안 페이로드)는 암호화까지 제공한다. 전송 모드와 터널 모드가 있다.	본사와 지사를 잇는 사이트 간 VPN 터널의 기반 프로토콜.	VPN	공중망에 암호화된 터널을 만들어 사설망처럼 사용하는 기술	IPSec, SSL VPN 방식이 있다. 무선 랜 보안 표준인 WPA와는 다르다.	재택근무자가 암호화 터널로 사내망에 접속한다.	AH와 ESP의 기능 차이를 묻는다. | 무선 랜 보안 문항의 오답 선택지로 나온다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_혼동짝 과목2
SSL vs TLS	SSL	전송 계층과 응용 계층 사이에서 데이터를 암호화하는 보안 프로토콜	TLS로 발전했다. HTTPS가 이를 사용한다. 무선 랜 표준인 WPA와 혼동하면 안 된다.	https 자물쇠 아이콘 뒤에서 동작하는 그 프로토콜.	TLS	SSL을 표준화·개선한 전송 계층 보안 프로토콜	현재 HTTPS는 TLS를 사용한다. SSL은 사실상 TLS의 옛 이름으로 함께 쓰인다.	TLS 1.3 이 현재 표준 — SSL 3.0 이하는 사용 금지 대상이다.	무선 랜 보안 문제의 오답 선택지로 나온다. | SSL과 TLS의 관계를 묻는다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_혼동짝 과목2
S-HTTP vs SSL	S-HTTP	HTTP 메시지 단위로 암호화·서명을 적용하는 보안 프로토콜	SSL은 연결 전체를 암호화하지만 S-HTTP는 개별 메시지를 암호화한다.	연결 전체가 아니라 HTTP 메시지 하나하나를 암호화한다.	SSL	전송 계층과 응용 계층 사이에서 데이터를 암호화하는 보안 프로토콜	TLS로 발전했다. HTTPS가 이를 사용한다. 무선 랜 표준인 WPA와 혼동하면 안 된다.	https 자물쇠 아이콘 뒤에서 동작하는 그 프로토콜.	적용 단위(연결 vs 메시지)로 구별. | 무선 랜 보안 문제의 오답 선택지로 나온다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_혼동짝 과목2
SSL vs WPA	SSL	전송 계층과 응용 계층 사이에서 데이터를 암호화하는 보안 프로토콜	TLS로 발전했다. HTTPS가 이를 사용한다. 무선 랜 표준인 WPA와 혼동하면 안 된다.	https 자물쇠 아이콘 뒤에서 동작하는 그 프로토콜.	WPA	Wi-Fi 얼라이언스가 제정한 무선 랜 인증 및 암호화 관련 표준	IEEE 802.11i에서 지원한다. WEP의 취약점을 보완했고 TKIP을 사용한다. WPA2는 AES 기반 CCMP를 쓴다.	와이파이 비밀번호 설정 화면의 보안 방식 선택 항목 그 자체.	무선 랜 보안 문제의 오답 선택지로 나온다. | WCDMA, SSL, SHA를 오답 선택지로 넣는다. 이름에 Wi-Fi가 들어간 것이 정답이다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_혼동짝 과목2
HTTPS vs TLS	HTTPS	HTTP에 SSL/TLS 암호화를 적용한 프로토콜	포트 443을 사용한다.	주소창 자물쇠 — HTTP에 TLS를 씌운 것, 포트 443.	TLS	SSL을 표준화·개선한 전송 계층 보안 프로토콜	현재 HTTPS는 TLS를 사용한다. SSL은 사실상 TLS의 옛 이름으로 함께 쓰인다.	TLS 1.3 이 현재 표준 — SSL 3.0 이하는 사용 금지 대상이다.	포트 번호를 묻는다. | SSL과 TLS의 관계를 묻는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
DBMS vs 데이터베이스	DBMS	사용자와 데이터베이스 사이에서 데이터베이스를 관리하는 소프트웨어	필수 기능 3가지는 정의(Definition), 조작(Manipulation), 제어(Control)다. 장점은 데이터 중복·종속성 최소화, 단점은 전문가 부족·비용·백업 복잡성이다.	MySQL·오라클·PostgreSQL 이 사용자와 데이터 파일 사이에서 다 처리해 준다.	데이터베이스	여러 사용자가 공유해 사용할 목적으로 통합·저장한 운영 데이터의 집합	특성은 실시간 접근성, 계속적인 변화, 동시 공유, 내용에 의한 참조다. 통합된 데이터, 저장된 데이터, 운영 데이터, 공용 데이터라는 정의 4요소도 출제된다.	회사의 회원·주문·상품 자료를 한곳에 모아 여러 부서가 함께 쓴다.	필수 기능 3종을 묻는다. | 특성 4가지와 정의 4요소를 섞어 낸다.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
DBMS vs 데이터 종속성	DBMS	사용자와 데이터베이스 사이에서 데이터베이스를 관리하는 소프트웨어	필수 기능 3가지는 정의(Definition), 조작(Manipulation), 제어(Control)다. 장점은 데이터 중복·종속성 최소화, 단점은 전문가 부족·비용·백업 복잡성이다.	MySQL·오라클·PostgreSQL 이 사용자와 데이터 파일 사이에서 다 처리해 준다.	데이터 종속성	응용 프로그램이 데이터의 물리적 구조에 의존해 함께 수정해야 하는 문제	파일 시스템의 대표적 단점이며 DBMS가 데이터 독립성으로 해결한다.	파일 구조를 바꾸면 그걸 읽는 프로그램을 다 고쳐야 했던 옛 방식의 문제.	필수 기능 3종을 묻는다. | DBMS 도입 목적으로 출제.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
개념 스키마 vs 외부 스키마	개념 스키마	조직 전체의 관점에서 데이터베이스의 논리적 구조를 정의한 것	단순히 스키마라고 하면 개념 스키마를 뜻한다. 데이터베이스에 하나만 존재하며 DBA가 관리한다.	전사 데이터 모델 한 장 — 조직 전체 관점의 논리 구조.	외부 스키마	개별 사용자나 응용 프로그램이 필요로 하는 데이터베이스의 논리적 구조	서브 스키마, 사용자 뷰라고도 한다. 여러 개 존재할 수 있다.	영업팀에는 매출 뷰만, 인사팀에는 급여 뷰만 보이게 한다.	하나만 존재한다는 점이 핵심. | 3계층 구분 문제.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
뷰 vs 외부 스키마	뷰	하나 이상의 기본 테이블이나 다른 뷰로부터 유도된 가상 테이블	물리적으로 존재하지 않고 정의만 저장된다. 논리적 데이터 독립성을 제공하고 보안 관리가 쉬워진다.	급여를 뺀 사원 목록만 보이는 EMP_PUBLIC 뷰를 만들어 권한을 준다.	외부 스키마	개별 사용자나 응용 프로그램이 필요로 하는 데이터베이스의 논리적 구조	서브 스키마, 사용자 뷰라고도 한다. 여러 개 존재할 수 있다.	영업팀에는 매출 뷰만, 인사팀에는 급여 뷰만 보이게 한다.	뷰의 제약사항을 O/X로 묻는다. | 3계층 구분 문제.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_혼동짝 과목3
개념 스키마 vs 내부 스키마	개념 스키마	조직 전체의 관점에서 데이터베이스의 논리적 구조를 정의한 것	단순히 스키마라고 하면 개념 스키마를 뜻한다. 데이터베이스에 하나만 존재하며 DBA가 관리한다.	전사 데이터 모델 한 장 — 조직 전체 관점의 논리 구조.	내부 스키마	물리적 저장 장치 관점에서 데이터베이스가 저장되는 방법을 기술한 것	레코드 형식, 인덱스, 데이터 항목의 표현 방법, 물리적 순서를 정의한다.	「이 테이블은 SSD 에 월별 파티션으로, 인덱스는 B-Tree」 같은 저장 방식.	하나만 존재한다는 점이 핵심. | 물리적 = 내부 스키마.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
논리적 데이터 독립성 vs 물리적 데이터 독립성	논리적 데이터 독립성	개념 스키마가 변경되어도 외부 스키마와 응용 프로그램에 영향이 없는 성질	외부 스키마와 개념 스키마 사이의 독립성이다.	회원 테이블에 컬럼을 하나 추가했는데 기존 화면은 손대지 않아도 된다.	물리적 데이터 독립성	내부 스키마가 변경되어도 개념 스키마와 외부 스키마에 영향이 없는 성질	저장 장치나 인덱스를 바꿔도 논리 구조는 그대로다.	HDD 를 SSD 로 바꾸고 인덱스를 새로 걸어도 SQL 은 그대로다.	논리적과 물리적 독립성의 대응 계층을 바꿔 낸다. | 독립성 2종의 계층 대응을 묻는다.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
데이터 사전 vs 시스템 카탈로그	데이터 사전	데이터베이스에 저장된 데이터에 관한 정보를 유지·관리하는 시스템 테이블	시스템 카탈로그라고도 한다. 사용자가 SQL로 조회는 할 수 있으나 직접 갱신할 수는 없다.	SELECT * FROM user_tables 로 내 테이블 목록을 조회한다.	시스템 카탈로그	데이터베이스의 구조·제약·통계 정보 등 메타 데이터를 저장한 시스템 테이블	데이터 사전이라고도 한다. 사용자가 SELECT로 조회는 가능하나 INSERT·UPDATE·DELETE로 직접 갱신할 수는 없다. DBMS가 자동으로 갱신한다.	information_schema, user_tables 로 구조 정보를 조회한다.	사용자가 갱신할 수 있다는 문장이 오답으로 나온다. | 사용자가 직접 갱신할 수 있다는 문장이 오답이다.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
데이터 사전 vs 메타 데이터	데이터 사전	데이터베이스에 저장된 데이터에 관한 정보를 유지·관리하는 시스템 테이블	시스템 카탈로그라고도 한다. 사용자가 SQL로 조회는 할 수 있으나 직접 갱신할 수는 없다.	SELECT * FROM user_tables 로 내 테이블 목록을 조회한다.	메타 데이터	데이터를 설명하는 데이터, 즉 데이터에 관한 정보	테이블 이름, 컬럼 타입, 제약 조건, 인덱스 정보 등이 메타 데이터다. 시스템 카탈로그에 저장된다.	「이 컬럼은 VARCHAR(20), NOT NULL, 인덱스 있음」이라는 정보 자체.	사용자가 갱신할 수 있다는 문장이 오답으로 나온다. | 용어 정의 문제.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
메타 데이터 vs 시스템 카탈로그	메타 데이터	데이터를 설명하는 데이터, 즉 데이터에 관한 정보	테이블 이름, 컬럼 타입, 제약 조건, 인덱스 정보 등이 메타 데이터다. 시스템 카탈로그에 저장된다.	「이 컬럼은 VARCHAR(20), NOT NULL, 인덱스 있음」이라는 정보 자체.	시스템 카탈로그	데이터베이스의 구조·제약·통계 정보 등 메타 데이터를 저장한 시스템 테이블	데이터 사전이라고도 한다. 사용자가 SELECT로 조회는 가능하나 INSERT·UPDATE·DELETE로 직접 갱신할 수는 없다. DBMS가 자동으로 갱신한다.	information_schema, user_tables 로 구조 정보를 조회한다.	용어 정의 문제. | 사용자가 직접 갱신할 수 있다는 문장이 오답이다.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_혼동짝 과목3
개념적 데이터 모델 vs 논리적 데이터 모델	개념적 데이터 모델	현실 세계의 인식을 추상적 개념으로 표현하는 데이터 모델	정보 모델이라고도 한다. E-R 모델이 대표적이다. 특정 DBMS를 고려하지 않는다.	E-R 다이어그램을 그려 DBMS와 무관하게 큰 구조를 잡는다.	논리적 데이터 모델	개념 구조를 특정 DBMS가 지원하는 자료 구조로 변환한 데이터 모델	관계 모델, 계층 모델, 네트워크 모델이 있다. 정규화를 수행하는 단계다.	관계 모델로 테이블을 정하고 정규화를 수행한다.	단계별 모델의 순서(개념 → 논리 → 물리)를 묻는다. | 단계 구별 문제.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
E-R 모델 vs 개념적 데이터 모델	E-R 모델	개체와 개체 간의 관계를 시각적으로 표현하는 개념적 데이터 모델	1976년 피터 첸(Peter Chen)이 제안했다. 특정 DBMS를 고려하지 않고 개념적 설계 단계에서 작성한다.	설계 초반에 「회원 — 주문 — 상품」 관계를 종이에 먼저 그린다.	개념적 데이터 모델	현실 세계의 인식을 추상적 개념으로 표현하는 데이터 모델	정보 모델이라고도 한다. E-R 모델이 대표적이다. 특정 DBMS를 고려하지 않는다.	E-R 다이어그램을 그려 DBMS와 무관하게 큰 구조를 잡는다.	특정 DBMS를 고려하지 않는다는 특성을 묻는다. | 단계별 모델의 순서(개념 → 논리 → 물리)를 묻는다.	3-5 E-R 모델 · 데이터 모델링 (3과목)	유형_혼동짝 과목3
논리적 데이터 모델 vs 물리적 데이터 모델	논리적 데이터 모델	개념 구조를 특정 DBMS가 지원하는 자료 구조로 변환한 데이터 모델	관계 모델, 계층 모델, 네트워크 모델이 있다. 정규화를 수행하는 단계다.	관계 모델로 테이블을 정하고 정규화를 수행한다.	물리적 데이터 모델	논리 모델을 특정 DBMS의 저장 구조로 변환한 데이터 모델	테이블, 컬럼 타입, 인덱스, 파티션을 결정한다. 성능이 주된 고려 사항이다.	「회원 테이블, MySQL InnoDB, 인덱스 3개, 파티션 월별」로 확정한 설계.	단계 구별 문제. | 3단계 모델의 순서를 묻는다.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
계층형 데이터 모델 vs 관계형 데이터 모델	계층형 데이터 모델	트리 구조로 데이터를 표현하며 개체 간 관계를 1대다로만 나타내는 모델	부모-자식 관계로 표현하고 다대다 관계를 직접 표현할 수 없다.	IBM IMS 처럼 부모-자식 트리로만 표현하던 초기 DB.	관계형 데이터 모델	2차원 표(테이블) 형태로 데이터를 표현하는 논리적 데이터 모델	기본 키와 외래 키로 관계를 표현한다. 계층·네트워크 모델과 달리 포인터가 아니라 값으로 관계를 나타낸다.	MySQL·오라클 — 표에 담고 기본키·외래키 값으로 관계를 표현한다.	모델 종류 나열형. | 모델 종류와 표현 방법을 짝짓게 한다.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
관계형 데이터 모델 vs 네트워크형 데이터 모델	관계형 데이터 모델	2차원 표(테이블) 형태로 데이터를 표현하는 논리적 데이터 모델	기본 키와 외래 키로 관계를 표현한다. 계층·네트워크 모델과 달리 포인터가 아니라 값으로 관계를 나타낸다.	MySQL·오라클 — 표에 담고 기본키·외래키 값으로 관계를 표현한다.	네트워크형 데이터 모델	그래프 구조로 오너-멤버 관계를 표현하는 모델	CODASYL DBTG 모델이라고도 한다. 다대다 관계를 표현할 수 있다.	CODASYL DBTG 모델 — 오너와 멤버를 그래프로 잇는다.	모델 종류와 표현 방법을 짝짓게 한다. | 오너-멤버 = 네트워크형.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
계층형 데이터 모델 vs 네트워크형 데이터 모델	계층형 데이터 모델	트리 구조로 데이터를 표현하며 개체 간 관계를 1대다로만 나타내는 모델	부모-자식 관계로 표현하고 다대다 관계를 직접 표현할 수 없다.	IBM IMS 처럼 부모-자식 트리로만 표현하던 초기 DB.	네트워크형 데이터 모델	그래프 구조로 오너-멤버 관계를 표현하는 모델	CODASYL DBTG 모델이라고도 한다. 다대다 관계를 표현할 수 있다.	CODASYL DBTG 모델 — 오너와 멤버를 그래프로 잇는다.	모델 종류 나열형. | 오너-멤버 = 네트워크형.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
속성 vs 튜플	속성	릴레이션의 열(Column), 즉 데이터의 가장 작은 논리적 단위	속성의 수를 차수(Degree)라 한다. 파일 구조의 데이터 항목·필드에 해당한다.	MEMBER 테이블의 name, phone, addr 각 열.	튜플	릴레이션의 행(Row), 즉 하나의 레코드	튜플의 수를 카디널리티(Cardinality)라 한다. 릴레이션 내 튜플은 모두 서로 다르며 순서가 없다.	MEMBER 테이블의 「홍길동 / 010-1234 / 서울」 한 줄.	속성 수 = 차수. | 튜플 수를 세게 하거나 카디널리티와 차수를 바꿔 낸다.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
카디널리티 vs 튜플	카디널리티	릴레이션의 튜플(행)의 개수	기수라고 한다. 인덱스 설계에서는 컬럼의 서로 다른 값의 개수를 뜻하기도 한다.	행이 1000개면 카디널리티는 1000이다. 인덱스에서는 값의 종류 수를 뜻하기도 한다.	튜플	릴레이션의 행(Row), 즉 하나의 레코드	튜플의 수를 카디널리티(Cardinality)라 한다. 릴레이션 내 튜플은 모두 서로 다르며 순서가 없다.	MEMBER 테이블의 「홍길동 / 010-1234 / 서울」 한 줄.	행/열 구별 문제. | 튜플 수를 세게 하거나 카디널리티와 차수를 바꿔 낸다.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
속성 vs 차수	속성	릴레이션의 열(Column), 즉 데이터의 가장 작은 논리적 단위	속성의 수를 차수(Degree)라 한다. 파일 구조의 데이터 항목·필드에 해당한다.	MEMBER 테이블의 name, phone, addr 각 열.	차수	릴레이션의 속성(열)의 개수	디그리라고 한다. 트리의 디그리(자식 노드 수)와 이름만 같고 다른 개념이다.	컬럼이 5개면 차수는 5다.	속성 수 = 차수. | 차수와 카디널리티를 바꿔 낸다. 차수는 열, 카디널리티는 행.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
도메인 vs 속성	도메인	하나의 속성이 취할 수 있는 원자값들의 집합	성별 속성의 도메인은 남, 여다. 속성값의 유효성 판단에 사용한다.	성별 컬럼이 가질 수 있는 값은 {남, 여} 뿐이다.	속성	릴레이션의 열(Column), 즉 데이터의 가장 작은 논리적 단위	속성의 수를 차수(Degree)라 한다. 파일 구조의 데이터 항목·필드에 해당한다.	MEMBER 테이블의 name, phone, addr 각 열.	도메인 정의 문제. | 속성 수 = 차수.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
도메인 vs 원자값	도메인	하나의 속성이 취할 수 있는 원자값들의 집합	성별 속성의 도메인은 남, 여다. 속성값의 유효성 판단에 사용한다.	성별 컬럼이 가질 수 있는 값은 {남, 여} 뿐이다.	원자값	더 이상 분해할 수 없는 하나의 값	제1정규형의 조건은 모든 도메인이 원자값으로만 구성되는 것이다.	취미 컬럼에 「등산,독서」를 한 칸에 넣으면 원자값이 아니다.	도메인 정의 문제. | 1NF 조건으로 출제.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
차수 vs 카디널리티	차수	릴레이션의 속성(열)의 개수	디그리라고 한다. 트리의 디그리(자식 노드 수)와 이름만 같고 다른 개념이다.	컬럼이 5개면 차수는 5다.	카디널리티	릴레이션의 튜플(행)의 개수	기수라고 한다. 인덱스 설계에서는 컬럼의 서로 다른 값의 개수를 뜻하기도 한다.	행이 1000개면 카디널리티는 1000이다. 인덱스에서는 값의 종류 수를 뜻하기도 한다.	차수와 카디널리티를 바꿔 낸다. 차수는 열, 카디널리티는 행. | 행/열 구별 문제.	3-2 관계형 데이터 모델 (3과목)	유형_혼동짝 과목3
슈퍼키 vs 후보키	슈퍼키	한 개 이상의 속성 집합으로 구성되어 유일성은 만족하지만 최소성은 만족하지 못하는 키	필요 이상의 속성이 포함되어 있어도 튜플을 유일하게 식별하면 슈퍼키다.	{학번}만으로도 되는데 {학번, 이름}을 키로 잡으면 슈퍼키다.	후보키	유일성과 최소성을 모두 만족하는, 개체를 고유하게 식별할 수 있는 속성	릴레이션에는 하나 이상의 후보키가 존재한다. 여기서 하나를 골라 기본키로 삼는다.	{학번}과 {주민번호} 둘 다 학생을 유일하게 식별할 수 있다.	유일성 O, 최소성 X 라는 조합을 묻는다. | 후보키와 슈퍼키의 최소성 차이를 묻는다.	3-3 키 · 무결성 제약 (3과목)	유형_혼동짝 과목3
슈퍼키 vs 유일성	슈퍼키	한 개 이상의 속성 집합으로 구성되어 유일성은 만족하지만 최소성은 만족하지 못하는 키	필요 이상의 속성이 포함되어 있어도 튜플을 유일하게 식별하면 슈퍼키다.	{학번}만으로도 되는데 {학번, 이름}을 키로 잡으면 슈퍼키다.	유일성	키가 릴레이션의 모든 튜플을 서로 다르게 식별할 수 있는 성질	슈퍼키·후보키·기본키 모두 유일성을 만족한다.	같은 학번을 가진 학생이 둘일 수 없다.	유일성 O, 최소성 X 라는 조합을 묻는다. | 유일성과 최소성의 조합으로 키를 판별하게 한다.	3-3 키 · 무결성 제약 (3과목)	유형_혼동짝 과목3
슈퍼키 vs 최소성	슈퍼키	한 개 이상의 속성 집합으로 구성되어 유일성은 만족하지만 최소성은 만족하지 못하는 키	필요 이상의 속성이 포함되어 있어도 튜플을 유일하게 식별하면 슈퍼키다.	{학번}만으로도 되는데 {학번, 이름}을 키로 잡으면 슈퍼키다.	최소성	키를 구성하는 속성이 튜플 식별에 꼭 필요한 최소한으로만 이루어진 성질	슈퍼키는 최소성을 만족하지 않는다. 후보키는 만족한다.	{학번, 이름} 에서 이름을 빼도 식별되면 이름은 불필요하다.	유일성 O, 최소성 X 라는 조합을 묻는다. | 슈퍼키와 후보키의 결정적 차이.	3-3 키 · 무결성 제약 (3과목)	유형_혼동짝 과목3
