#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
이행적 함수 종속	Transitive Functional Dependency	X → Y이고 Y → Z일 때 X → Z가 성립하는 종속 관계	3NF에서 제거하는 대상이다. 화살표를 두 번 타고 넘어가는 형태를 보면 3NF다.	학번 → 학과코드, 학과코드 → 학과명 이면 학번 → 학과명 이 성립한다.	3NF 에서 제거. 화살표를 두 번 타고 넘는다.	제3정규형 / 함수적 종속 / BCNF	A → B, B → C 형태를 주고 어느 단계에서 제거하는지 묻는다. 2NF → 3NF.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6 오답노트출처
정규화	Normalization	데이터 중복과 이상 현상을 제거하기 위해 릴레이션을 분해하는 과정	목적은 중복 제거, 이상 현상 방지, 데이터 구조 안정성 확보다. 단계는 1NF 도메인 원자값, 2NF 부분 함수 종속 제거, 3NF 이행적 종속 제거, BCNF 결정자가 후보키가 아닌 종속 제거, 4NF 다치 종속 제거, 5NF 조인 종속 제거다.	주문 테이블에 상품명이 중복 저장돼 상품명 수정이 누락되는 문제를 분해로 해결한다.	도·부·이·결·다·조 순서.	반정규화 / 이상 / 제1정규형 / BCNF	각 단계에서 제거하는 대상을 바꿔 낸다.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6 오답노트출처
이상	Anomaly	데이터의 중복으로 인해 발생하는 데이터 불일치 현상	삽입 이상(원하지 않는 자료가 함께 삽입), 삭제 이상(연쇄 삭제로 필요한 자료가 함께 삭제), 갱신 이상(일부만 갱신되어 정보가 모순)이 있다.	회원 하나 지웠는데 그 회원의 유일한 주문 이력까지 사라진다.	삽입·삭제·갱신 이상 3종.	정규화 / 삽입 이상	이상 3종의 정의를 바꿔 낸다.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
제1정규형	1NF	릴레이션의 모든 도메인이 원자값만으로 구성된 정규형	한 칸에 여러 값이 들어 있으면 1NF 위반이다.	취미 컬럼에 「등산,독서」가 들어 있던 것을 행으로 분리한다.	한 칸에 값 하나 = 원자값.	제2정규형 / 정규화 / 도메인	1NF 조건 = 원자값.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
제2정규형	2NF	1NF를 만족하면서 부분 함수적 종속을 제거해 모든 비주요 속성이 기본키에 완전 함수적 종속인 정규형	복합키의 일부만으로 결정되는 속성을 분리한다.	{학번, 과목} 복합키 테이블에서 학번만으로 정해지는 학생이름을 분리한다.	부분 함수 종속 제거.	제1정규형 / 제3정규형 / 부분 함수적 종속	제거 대상 = 부분 함수 종속.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
제3정규형	3NF	2NF를 만족하면서 이행적 함수 종속을 제거한 정규형	A → B, B → C 이므로 A → C 가 성립하는 관계를 없앤다.	주문 테이블에 있던 「학과코드, 학과명」을 학과 테이블로 뺀다.	이행적 종속 제거.	제2정규형 / BCNF / 이행적 함수 종속	제거 대상 = 이행적 종속.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6 오답노트출처
BCNF	Boyce-Codd Normal Form	3NF를 만족하면서 모든 결정자가 후보키인 정규형	결정자이면서 후보키가 아닌 것을 제거한다. 결정자라는 단어가 문제에 있으면 BCNF다.	강의실 → 담당교수 처럼 결정자인데 후보키가 아닌 것을 분리한다.	「결정자」라는 단어가 나오면 BCNF.	제3정규형 / 제4정규형 / 결정자	이행적 종속(3NF)과 결정자(BCNF)를 바꿔 낸다.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6 오답노트출처
제4정규형	4NF	BCNF를 만족하면서 다치 종속을 제거한 정규형	다치 종속(Multi Valued Dependency, MVD)이 핵심어다.	한 교수가 여러 과목·여러 교재를 갖는데 둘이 무관하면 쪼갠다.	다치 종속 제거.	BCNF / 제5정규형 / 다치 종속	제거 대상 = 다치 종속.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
다치 종속	Multi Valued Dependency	한 속성값에 대해 다른 속성이 여러 값을 갖는 종속 관계	4NF에서 제거한다. A →→ B 로 표기한다.	학번 하나에 여러 과목과 여러 취미가 서로 무관하게 딸려 있다.	A →→ B · 4NF 대상.	제4정규형 / 함수적 종속	4NF와 짝지어 출제.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
제5정규형	5NF	4NF를 만족하면서 조인 종속이 후보키를 통해서만 성립하는 정규형	조인 종속(Join Dependency)이 핵심어다. PJNF라고도 한다.	세 테이블로 쪼갰다가 다시 조인해도 원본이 정확히 복원되게 만든다.	조인 종속 제거 · PJNF.	제4정규형 / 정규화	제거 대상 = 조인 종속.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
반정규화	Denormalization	성능 향상을 위해 정규화된 구조를 의도적으로 통합·중복·분리하는 기법	방법은 테이블 통합, 테이블 분할(수평·수직), 중복 테이블 추가, 중복 속성 추가, 컬럼 추가다. 무결성이 깨질 위험이 있다.	주문 목록 조회가 너무 느려 상품명을 주문 테이블에 일부러 중복 저장한다.	목적이 「성능」 — 무결성은 위험해진다.	정규화 / 파티셔닝 / 클러스터링	정규화와 반정규화의 목적을 바꿔 낸다. 반정규화는 성능이 목적.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
결정자	Determinant	함수적 종속 X → Y에서 다른 속성의 값을 결정하는 왼쪽 속성 X	BCNF는 모든 결정자가 후보키인 정규형이다. 문제에 결정자라는 단어가 있으면 BCNF를 떠올린다.	함수 종속 학번 → 이름 에서 왼쪽의 학번.	결정자가 모두 후보키면 BCNF.	BCNF / 함수적 종속 / 후보키	결정자라는 단어와 BCNF를 연결하게 한다.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
삽입 이상	Insertion Anomaly	자료를 삽입할 때 원하지 않는 자료까지 함께 삽입해야 하는 현상	삭제 이상은 연쇄 삭제, 갱신 이상은 일부만 갱신되어 생기는 모순이다.	아직 주문이 없는 회원을 주문 테이블에 넣으려니 주문번호를 억지로 만들어야 한다.	원하지 않는 값까지 넣어야 하는 상황.	이상 / 정규화	이상 3종의 정의를 바꿔 낸다.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_용어 과목3 챕터_3_6
SQL	Structured Query Language	관계형 데이터베이스를 정의·조작·제어하기 위한 표준 질의어	DDL(정의어), DML(조작어), DCL(제어어)로 분류한다.	개발자가 하루 종일 치는 그 언어 — SELECT, INSERT, GRANT 모두 SQL이다.	DDL(정의) · DML(조작) · DCL(제어).	DDL / DML / DCL	명령어가 어느 분류인지 묻는다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7
DDL	Data Definition Language	데이터베이스 구조를 정의·변경·삭제하는 데이터 정의어	CREATE, ALTER, DROP, TRUNCATE가 속한다. 실행 즉시 자동 커밋된다.	CREATE TABLE, ALTER TABLE, DROP TABLE, TRUNCATE.	실행하면 자동 커밋 — 롤백이 안 된다.	DML / DCL / CREATE	명령어 분류 문제. TRUNCATE가 DDL임을 묻는다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7
CREATE	CREATE	스키마·도메인·테이블·뷰·인덱스를 생성하는 DDL 명령	CREATE TABLE 시 PRIMARY KEY, FOREIGN KEY, UNIQUE, NOT NULL, CHECK, DEFAULT 제약을 지정한다.	CREATE TABLE member (id CHAR(10) PRIMARY KEY, age INT CHECK(age>=0));	테이블 만들며 제약조건도 함께 선언.	ALTER / DROP / DDL	제약 조건 지정 구문을 묻는다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7
ALTER	ALTER	기존 테이블의 구조를 변경하는 DDL 명령	ADD로 속성 추가, ALTER로 기본값 변경, DROP COLUMN으로 속성 삭제한다. 뷰의 정의는 ALTER로 변경할 수 없다.	ALTER TABLE member ADD email VARCHAR(50); 로 컬럼을 추가한다.	뷰의 정의는 ALTER 로 못 바꾼다.	CREATE / DROP / 뷰	뷰를 ALTER로 변경할 수 없다는 점이 출제된다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7
DROP	DROP	스키마·테이블·뷰·인덱스를 제거하는 DDL 명령	CASCADE는 참조하는 모든 개체를 함께 제거하고, RESTRICT는 참조 중이면 제거를 취소한다.	DROP TABLE member CASCADE; — 참조하던 것까지 함께 정리한다.	CASCADE 는 딸린 것까지, RESTRICT 는 취소.	CASCADE / RESTRICT / TRUNCATE / DELETE	CASCADE와 RESTRICT의 동작을 바꿔 낸다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7
CASCADE	CASCADE	제거 대상을 참조하는 다른 모든 개체를 함께 제거하는 DROP 옵션	뷰 V_1을 참조하는 V_2가 있을 때 DROP VIEW V_1 CASCADE 하면 V_2도 삭제된다.	뷰 V_1 을 참조하는 V_2 가 있을 때 DROP VIEW V_1 CASCADE 하면 V_2 도 사라진다.	폭포처럼 아래로 쓸어낸다.	RESTRICT / DROP / 참조 무결성	연쇄 삭제 결과를 묻는다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7 오답노트출처
RESTRICT	RESTRICT	제거 대상을 다른 개체가 참조 중이면 제거를 취소하는 DROP 옵션	아무것도 삭제되지 않는다. CASCADE와 정반대다.	누가 참조 중이면 아무것도 지우지 않고 명령을 취소한다.	제한 — 쓰고 있으면 못 지운다.	CASCADE / DROP	CASCADE와의 대비.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7 오답노트출처
TRUNCATE	TRUNCATE	테이블의 모든 행을 삭제하되 구조는 남기는 DDL 명령	DELETE와 달리 롤백이 불가능하고 훨씬 빠르다. DDL이므로 자동 커밋된다.	개발 DB 초기화할 때 DELETE 대신 TRUNCATE 로 순식간에 비운다.	롤백 불가 · 구조는 남는다 · DDL 이라 자동 커밋.	DELETE / DROP / DDL	TRUNCATE·DELETE·DROP의 차이를 묻는다.	3-7 SQL — DDL (3과목)	유형_용어 과목3 챕터_3_7
DML	Data Manipulation Language	데이터를 검색·삽입·수정·삭제하는 데이터 조작어	SELECT, INSERT, UPDATE, DELETE가 속한다.	SELECT · INSERT · UPDATE · DELETE — 데이터를 만지는 명령.	조작어. 커밋 전이면 롤백 가능.	DDL / DCL / SELECT	명령어 분류 문제.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
SELECT	SELECT	테이블에서 데이터를 검색하는 DML 명령	기본 구조는 SELECT 속성 FROM 테이블 WHERE 조건 GROUP BY 속성 HAVING 조건 ORDER BY 속성이다. 실행 순서는 FROM → WHERE → GROUP BY → HAVING → SELECT → ORDER BY다.	SELECT name FROM member WHERE age >= 20 ORDER BY name;	실행 순서는 FROM → WHERE → GROUP BY → HAVING → SELECT → ORDER BY.	WHERE / GROUP BY / HAVING / DISTINCT	절의 실행 순서와 결과 튜플 수를 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
DISTINCT	DISTINCT	검색 결과에서 중복된 튜플을 제거하는 SELECT 옵션	튜플 수를 묻는 문제에서 DISTINCT 유무가 정답을 가른다. 없으면 중복도 그대로 센다.	SELECT DISTINCT dept FROM emp; — 부서 종류만 뽑는다.	튜플 수 문제의 최대 함정 — 있으면 중복 제거.	SELECT / 합집합	결과 튜플 수 계산 문제의 핵심 함정.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8 오답노트출처
WHERE	WHERE	검색 조건을 지정하는 절	WHERE가 없으면 테이블의 전체 행이 결과가 된다. 집계 함수는 WHERE에 쓸 수 없고 HAVING에 써야 한다.	WHERE 를 빼면 UPDATE 가 전체 행을 바꿔 버린다.	없으면 전체가 대상.	HAVING / SELECT	WHERE 유무로 결과 튜플 수가 달라진다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
BETWEEN	BETWEEN A AND B	값이 A 이상 B 이하인 범위를 지정하는 조건 연산자	양쪽 경계를 모두 포함한다. 즉 >= A AND <= B 와 같다. 한쪽만 포함하는 것으로 서술하면 틀린 보기다.	WHERE score BETWEEN 90 AND 95 — 90점과 95점 모두 포함된다.	양쪽 끝 포함. >= 90 AND <= 95.	IN / LIKE / WHERE	등가식으로 바꿔 고르게 한다. 양쪽 모두 등호가 붙는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8 오답노트출처
IN	IN	값이 나열된 목록 중 하나와 일치하는지 검사하는 조건 연산자	IN (1, 2, 3) 은 = 1 OR = 2 OR = 3 과 같다. 서브쿼리와 함께 자주 쓴다.	WHERE dept IN ('영업','인사') — OR 여러 개를 짧게 쓴 것.	= A OR = B OR = C 와 같다.	BETWEEN / EXISTS / 서브쿼리	OR 조건과의 등가 관계를 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
LIKE	LIKE	문자열 패턴을 검사하는 조건 연산자	% 는 0개 이상의 임의 문자, _ 는 1개의 임의 문자를 뜻한다. 와일드카드 의미를 바꿔 내는 문제가 나온다.	WHERE name LIKE '김%' 은 김으로 시작, '김__' 은 김 + 두 글자.	% 는 여러 글자, _ 는 딱 한 글자.	IN / BETWEEN	%와 _의 의미를 바꿔 낸다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
GROUP BY	GROUP BY	지정한 속성값이 같은 튜플을 그룹으로 묶는 절	결과 튜플 수는 그룹의 개수가 된다. 집계 함수와 함께 사용한다.	SELECT dept, COUNT(*) FROM emp GROUP BY dept; — 부서 수만큼 행이 나온다.	결과 행 수 = 그룹 개수.	HAVING / 집계 함수 / SELECT	그룹 개수 = 결과 튜플 수.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
HAVING	HAVING	GROUP BY로 만든 그룹에 조건을 지정하는 절	집계 함수 조건은 HAVING에 쓴다. WHERE는 그룹 이전의 개별 행 조건이다.	GROUP BY dept HAVING COUNT(*) >= 5 — 5명 이상 부서만.	집계 조건은 WHERE 가 아니라 HAVING.	WHERE / GROUP BY	WHERE와 HAVING의 적용 시점을 바꿔 낸다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
ORDER BY	ORDER BY	검색 결과를 정렬하는 절	ASC는 오름차순(기본값), DESC는 내림차순이다. 실행 순서상 가장 마지막에 적용된다.	ORDER BY salary DESC — 안 쓰면 오름차순(ASC)이 기본.	맨 마지막에 적용된다.	SELECT / GROUP BY	기본값이 ASC임을 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
집계 함수	Aggregate Function	여러 행의 값을 하나로 집계하는 함수	COUNT, SUM, AVG, MAX, MIN이 있다. 그룹 함수라고도 한다. COUNT(*)는 NULL을 포함하고 COUNT(속성)는 NULL을 제외한다.	SELECT AVG(salary), MAX(salary) FROM emp;	COUNT(*) 는 NULL 포함, COUNT(컬럼) 은 NULL 제외.	GROUP BY / 윈도우 함수 / COUNT	COUNT(*)와 COUNT(속성)의 NULL 처리 차이를 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
윈도우 함수	Window Function	행 그룹을 기준으로 계산하면서 개별 행도 그대로 유지하는 함수	순위 함수 RANK, DENSE_RANK, ROW_NUMBER와 집계 함수 SUM, AVG 등을 OVER 절과 함께 쓴다. PARTITION BY로 그룹을 나눈다.	부서별 급여 순위를 매기면서 개별 사원 행도 그대로 남긴다.	OVER (PARTITION BY ...) 가 보이면 윈도우 함수.	집계 함수 / RANK	RANK와 DENSE_RANK의 순위 처리 차이를 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
RANK	RANK	동일 값에 같은 순위를 주고 다음 순위는 건너뛰는 윈도우 순위 함수	1, 2, 2, 4 처럼 순위가 비어 뛴다. DENSE_RANK는 1, 2, 2, 3 처럼 건너뛰지 않는다.	동점 2등이 두 명이면 다음은 4등 — DENSE_RANK 는 3등.	RANK 는 건너뛰고, DENSE_RANK 는 안 건너뛴다.	윈도우 함수 / 집계 함수	RANK와 DENSE_RANK의 결과를 비교하게 한다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
INSERT	INSERT	테이블에 새로운 튜플을 삽입하는 DML 명령	INSERT INTO 테이블(속성) VALUES(값) 형식이다. 서브쿼리로 여러 행을 한 번에 삽입할 수도 있다.	INSERT INTO member (id, name) VALUES ('m01','홍길동');	서브쿼리로 여러 행을 한 번에 넣을 수도 있다.	UPDATE / DELETE / DML	구문 형식을 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
UPDATE	UPDATE	기존 튜플의 값을 수정하는 DML 명령	UPDATE 테이블 SET 속성=값 WHERE 조건 형식이다. WHERE를 빼면 전체 행이 수정된다.	UPDATE member SET grade='VIP' WHERE point >= 10000;	WHERE 를 빼면 전원 VIP 가 된다.	INSERT / DELETE	WHERE 생략 시 전체 수정된다는 점을 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
DELETE	DELETE	테이블에서 튜플을 삭제하는 DML 명령	DELETE FROM 테이블 WHERE 조건 형식이다. 테이블 구조는 남는다. TRUNCATE와 달리 롤백이 가능하다.	DELETE FROM member WHERE id='m01'; — 구조는 남고 행만 지운다.	롤백 가능. TRUNCATE 는 불가.	TRUNCATE / DROP / UPDATE	DELETE·TRUNCATE·DROP의 차이를 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
COUNT	COUNT	행의 개수를 세는 집계 함수	COUNT(*)는 NULL을 포함한 전체 행을, COUNT(속성)는 해당 속성이 NULL이 아닌 행만 센다. COUNT(DISTINCT 속성)는 중복을 제거한 값의 개수다.	데이터가 10, 20, NULL, 20 일 때 COUNT(*)=4, COUNT(급여)=3, COUNT(DISTINCT 급여)=2.	별표는 NULL 포함, 컬럼 지정은 NULL 제외.	집계 함수 / DISTINCT / NULL	별표와 속성 지정의 NULL 처리 차이를 묻는다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_용어 과목3 챕터_3_8
DCL	Data Control Language	데이터의 보안·무결성·회복·병행 제어를 정의하는 데이터 제어어	COMMIT, ROLLBACK, SAVEPOINT, GRANT, REVOKE가 속한다.	COMMIT · ROLLBACK · SAVEPOINT · GRANT · REVOKE.	제어어 — 보안·무결성·회복·병행 제어.	DDL / DML / GRANT	명령어 분류 문제.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
GRANT	GRANT	사용자에게 데이터베이스 사용 권한을 부여하는 DCL 명령	WITH GRANT OPTION을 주면 받은 권한을 다른 사용자에게 다시 부여할 수 있다.	GRANT SELECT ON member TO analyst; — 조회 권한만 준다.	WITH GRANT OPTION 이면 받은 사람이 또 줄 수 있다.	REVOKE / 권한 / DCL	WITH GRANT OPTION의 의미를 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
REVOKE	REVOKE	사용자에게 부여한 권한을 취소하는 DCL 명령	GRANT OPTION FOR는 재부여 권한만 취소하고, CASCADE는 연쇄적으로 취소한다.	REVOKE SELECT ON member FROM analyst CASCADE;	CASCADE 면 그 사람이 준 권한까지 연쇄 회수.	GRANT / CASCADE	옵션별 동작을 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
COMMIT	COMMIT	트랜잭션 처리가 정상 종료되어 결과를 데이터베이스에 영구 반영하는 DCL 명령	ROLLBACK과 함께 트랜잭션의 원자성을 보장한다. 일관성이라고 하면 틀린 보기다.	이체 처리에서 출금과 입금이 다 끝난 뒤 COMMIT 을 날린다.	이것과 ROLLBACK 이 보장하는 건 「원자성」.	ROLLBACK / SAVEPOINT / 원자성	COMMIT/ROLLBACK이 보장하는 특성은 원자성이다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9 오답노트출처
ROLLBACK	ROLLBACK	트랜잭션 처리가 비정상 종료되어 모든 변경을 취소하고 이전 상태로 되돌리는 DCL 명령	원자성(All or Nothing)을 보장한다.	입금 중 오류가 나면 출금까지 되돌려 아무 일도 없던 상태로 만든다.	전부 취소 — 원자성.	COMMIT / SAVEPOINT / 원자성	보장하는 트랜잭션 특성을 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9 오답노트출처
SAVEPOINT	SAVEPOINT	트랜잭션 내에 되돌아갈 지점을 지정하는 DCL 명령	CHECKPOINT라고도 한다. ROLLBACK TO 저장점 으로 부분 취소가 가능하다.	긴 배치 중간에 저장점을 찍고 문제 구간만 ROLLBACK TO 로 되돌린다.	부분 롤백 지점.	ROLLBACK / COMMIT	부분 롤백 지점 = SAVEPOINT.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
내부 조인	Inner Join	두 테이블에서 조인 조건을 만족하는 행만 결과에 포함하는 조인	동등 조인(EQUI JOIN), 자연 조인(NATURAL JOIN), 교차 조인(CROSS JOIN), 자체 조인(SELF JOIN)이 있다.	회원과 주문을 붙여 「주문한 회원」만 나온다.	조건이 맞는 행만.	외부 조인 / 동등 조인 / 자연 조인	조인 종류 분류 문제.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
동등 조인	EQUI JOIN	= 연산자로 공통 속성값이 같은 행을 결합하는 조인	WHERE A.키 = B.키 형식으로 작성한다. 공통 속성이 결과에 두 번 나타난다.	WHERE m.id = o.member_id — 공통 컬럼이 결과에 두 번 나온다.	= 로 잇는다.	자연 조인 / 내부 조인	동등 조인과 자연 조인의 차이(중복 속성 제거 여부)를 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
자연 조인	NATURAL JOIN	동등 조인에서 중복된 공통 속성을 한 번만 표시하는 조인	공통 속성 이름이 같아야 한다. 조인 조건을 명시하지 않는다.	NATURAL JOIN — 같은 이름의 컬럼을 알아서 잇고 한 번만 표시한다.	중복 컬럼을 없애 준다.	동등 조인 / 내부 조인	중복 속성 제거 = 자연 조인.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
외부 조인	Outer Join	조인 조건을 만족하지 않는 행도 결과에 포함하는 조인	LEFT OUTER JOIN은 왼쪽 테이블 전체를, RIGHT는 오른쪽 전체를, FULL은 양쪽 전체를 포함하고 없는 값은 NULL로 채운다.	LEFT JOIN 으로 「주문이 없는 회원」도 목록에 남기고 주문 칸은 NULL 로 둔다.	기준 쪽 전체를 살린다.	내부 조인 / NULL	방향별 결과 행 수를 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
교차 조인	CROSS JOIN	두 테이블의 모든 행을 조합하는 조인	카티션 프로덕트와 같다. 결과 행 수는 두 테이블 행 수의 곱이다.	회원 3명 × 쿠폰 4장 = 12행. 조인 조건을 빼먹으면 실수로 이게 된다.	카티션 프로덕트와 같다.	카티션 프로덕트 / 내부 조인	결과 행 수 계산 문제.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
자체 조인	SELF JOIN	하나의 테이블을 자기 자신과 조인하는 방식	별칭(Alias)을 사용해 두 개의 테이블처럼 다룬다. 사원-관리자 관계 조회에 쓴다.	사원 테이블을 두 번 불러 「사원 — 그 사원의 상사」를 잇는다.	별칭(Alias)으로 두 개처럼 쓴다.	내부 조인 / 동등 조인	조인 종류 나열형.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
서브쿼리	Subquery	다른 SQL 문 안에 포함된 SELECT 문	단일 행 서브쿼리는 = 등 단일 행 연산자를, 다중 행 서브쿼리는 IN, ANY, ALL, EXISTS를 사용한다. 상관 서브쿼리는 외부 쿼리의 값을 참조한다.	WHERE salary > (SELECT AVG(salary) FROM emp) — 평균보다 많이 받는 사원.	단일행은 =, 다중행은 IN·ANY·ALL·EXISTS.	IN / EXISTS / 상관 서브쿼리	단일행/다중행 연산자를 바꿔 낸다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
EXISTS	EXISTS	서브쿼리의 결과가 하나라도 존재하는지 검사하는 연산자	존재 여부만 판단하므로 IN보다 빠를 수 있다. NOT EXISTS는 반대다.	WHERE EXISTS (SELECT 1 FROM order WHERE ...) — 하나만 있어도 참.	존재 여부만 보므로 빠를 수 있다.	IN / 서브쿼리	IN과 EXISTS의 동작 차이를 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
UNION	UNION	두 SELECT 결과를 합치되 중복을 제거하는 집합 연산자	UNION ALL은 중복을 제거하지 않는다. 두 결과의 컬럼 수와 데이터 타입이 일치해야 한다.	온라인 주문과 매장 주문을 합쳐 한 목록으로 만든다. 중복은 제거.	UNION ALL 은 중복을 그대로 둔다.	합집합 / INTERSECT / 차집합	UNION과 UNION ALL의 차이를 묻는다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
상관 서브쿼리	Correlated Subquery	외부 쿼리의 값을 참조하며 행마다 반복 실행되는 서브쿼리	EXISTS와 함께 자주 쓴다. 외부 쿼리와 독립적인 것은 비상관 서브쿼리다.	각 부서마다 그 부서 평균보다 많이 받는 사원 — 행마다 서브쿼리가 다시 돈다.	외부 값을 참조하면 상관.	서브쿼리 / EXISTS	상관/비상관 구별 문제.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
INTERSECT	INTERSECT	두 SELECT 결과의 공통 행만 반환하는 집합 연산자	관계대수의 교집합에 해당한다. EXCEPT 또는 MINUS는 차집합이다.	작년 구매자와 올해 구매자의 교집합을 구한다.	관계대수의 교집합.	UNION / 교집합 / 차집합	집합 연산자와 관계대수를 짝짓게 한다.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_용어 과목3 챕터_3_9
뷰	View	하나 이상의 기본 테이블이나 다른 뷰로부터 유도된 가상 테이블	물리적으로 존재하지 않고 정의만 저장된다. 논리적 데이터 독립성을 제공하고 보안 관리가 쉬워진다.	급여를 뺀 사원 목록만 보이는 EMP_PUBLIC 뷰를 만들어 권한을 준다.	가상 테이블 — 정의만 저장된다.	기본 테이블 / 인덱스 / 외부 스키마	뷰의 제약사항을 O/X로 묻는다.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10 오답노트출처
